id_nave_clase;id_nave_matricula;id_orbita_exc;id_sentido;id_altura
951;479305;0.68;Horario;21777.29
456;951749;0.81;Anti-Horario;33610.97
123;565602;0.48;Horario;33054.84
654;935189;0.46;Horario;2482.2
987;724468;0.12;Anti-Horario;2689.56
798;547021;0.75;Horario;31619.73
147;447105;0.07;Anti-Horario;32816.52
258;738134;0.03;Anti-Horario;23401.09
369;758323;0.64;Anti-Horario;10315.47
741;610681;0.23;Horario;34582.76
852;454390;0.5;Horario;34811.82
963;945153;0.43;Horario;15465.19
753;957245;0.91;Anti-Horario;13212.73
951;618646;0.35;Horario;3231.83
456;638866;0.55;Anti-Horario;34763.44
123;514814;0.95;Anti-Horario;8459.3
654;913367;0.31;Horario;34654.13
987;343245;0.28;Anti-Horario;26743.91
798;359862;0.33;Horario;24620.7
147;914126;0.7;Anti-Horario;1337.18
258;829755;0.42;Horario;3149.33
369;657939;0.65;Anti-Horario;19308.94
741;375059;0.45;Horario;17969.34
852;822940;0.8;Anti-Horario;2409.85
963;483538;0.33;Anti-Horario;13443.72
753;955314;0.76;Horario;33095.39
951;868219;0.26;Anti-Horario;16946.07
456;563736;0.91;Anti-Horario;2225.78
123;337848;0.43;Anti-Horario;13877.19
654;887492;0.25;Horario;24709.79
987;325338;0.49;Horario;18704.09
798;868125;0.04;Horario;14766.86
147;832179;0.31;Anti-Horario;11650.4
258;830647;0.44;Anti-Horario;6300.31
369;798655;0.8;Horario;11635.85
741;909256;0.41;Horario;4052.54
852;373180;0.86;Horario;12416.21
963;579295;0.58;Horario;2694.23
753;948359;0.85;Horario;20738.47
951;641464;0.97;Horario;33136.7
987;568344;0.54;Anti-Horario;28938.89
654;343133;0.66;Horario;25313.61
987;725559;0.59;Horario;23591.89
798;371107;0.85;Anti-Horario;31924.11
147;354380;0.86;Anti-Horario;25546.39
258;615786;0.52;Horario;22833.6
369;472558;0.93;Anti-Horario;11310.01
741;586790;0.09;Horario;31808.98
852;730981;0.35;Anti-Horario;34440.2
963;794921;0.42;Horario;3403.94
753;828974;0.56;Horario;3936.45
951;448327;0.96;Horario;6994.53
456;726472;0.43;Horario;24395.95
123;522575;0.52;Anti-Horario;23277.99
654;831314;0.64;Anti-Horario;27007.58
987;694997;0.29;Horario;26936.07
798;366171;0.67;Anti-Horario;25826.62
147;611175;0.6;Anti-Horario;5088.41
258;580677;0.31;Horario;25952.04
369;390363;0.34;Anti-Horario;32826.24
741;911703;0.86;Anti-Horario;12372.25
852;566093;0.95;Horario;23986.67
963;977363;1;Horario;103.78
753;396683;0.33;Horario;8382.67
951;574076;0.06;Horario;16825.82
456;495605;0.39;Anti-Horario;5813.11
123;770359;0.53;Horario;8079.3
654;762124;0.19;Anti-Horario;19289.91
987;865357;0.38;Anti-Horario;3595.83
798;681958;0.17;Horario;33867.41
147;972354;0.41;Horario;5905.83
258;749348;0.19;Anti-Horario;28866.47
369;766242;0.72;Horario;23089.65
741;974838;0.4;Anti-Horario;22110.26
852;920191;0.34;Anti-Horario;28119.28
963;754883;0.57;Anti-Horario;4295.13
753;589316;0.06;Horario;10672.51
951;974802;0.89;Anti-Horario;3781.93
456;638853;0.3;Horario;5463.81
123;350561;0.76;Horario;33110.09
654;481247;0.2;Anti-Horario;30838.07
987;633145;0.44;Horario;29403.55
798;812719;0.59;Horario;9137.99
147;512162;0.88;Anti-Horario;10386.59
258;932798;0.16;Anti-Horario;20126.19
369;500010;0.53;Anti-Horario;1502.61
741;395651;0.64;Horario;25784.6
852;476418;0.93;Anti-Horario;9284.67
963;346458;0.75;Anti-Horario;20153.04
753;651590;0.53;Anti-Horario;26303
951;947286;0.71;Anti-Horario;16932.12
654;752044;0.22;Anti-Horario;34814.23
987;347178;0.52;Anti-Horario;30968.35
798;721823;0.8;Anti-Horario;17779.4
147;650849;0.26;Horario;5874.24
258;483585;0.88;Horario;5840.84
369;915237;0.78;Anti-Horario;2186.19
741;399139;0.39;Horario;29041.35
852;466543;0.23;Anti-Horario;30194.63
963;438021;0.85;Anti-Horario;23851.06
753;788936;0.79;Horario;14024.63
951;713144;0.26;Anti-Horario;662.2
456;923929;0.01;Horario;26525.76
123;706786;0.06;Anti-Horario;4066.25
654;499600;0.48;Anti-Horario;4697.98
987;786255;0.53;Horario;31705.01
798;440881;0.13;Anti-Horario;18426.54
147;815550;0.74;Horario;5778.19
258;787017;0.26;Anti-Horario;9309.74
369;543097;0.66;Horario;20383.3
741;560812;0.21;Anti-Horario;9521.18
852;882305;0.32;Horario;26626.42
963;339930;0.05;Horario;18041.55
753;712887;0.27;Anti-Horario;30623.21
951;696663;0.78;Horario;22088.99
456;435346;0.44;Anti-Horario;32985.01
123;613174;0.6;Anti-Horario;29067.25
654;464227;0.8;Horario;11380.45
987;934565;0.02;Anti-Horario;14655.68
798;626981;0.14;Horario;31643.66
147;700057;0.44;Anti-Horario;14460.24
258;903943;0.61;Anti-Horario;30387.34
369;447453;0.24;Anti-Horario;32071.59
741;800660;0.41;Anti-Horario;4335.42
852;520783;0.46;Anti-Horario;30402.32
963;788099;0.83;Horario;34620.9
753;650599;0.65;Horario;5606.95
951;868490;0.33;Anti-Horario;33108.05
456;947651;0.8;Horario;6676.4
123;446438;0.83;Horario;19553.71
654;775608;0.62;Horario;5050.16
987;876210;0.59;Anti-Horario;27452.29
798;379826;0.04;Anti-Horario;15372.43
147;719770;0.87;Horario;30593.11
258;837091;0.25;Anti-Horario;4470.27
369;777440;0.83;Anti-Horario;21571.82
741;547423;0.8;Horario;30461.71
852;488493;0.5;Anti-Horario;28451.76
963;805055;0.1;Anti-Horario;6693.36
753;714766;1;Horario;26456.02
951;679906;0.77;Horario;25951.72
654;462045;0.42;Anti-Horario;16961.75
987;970166;0.93;Anti-Horario;2768.31
798;843784;0.85;Anti-Horario;1758.95
147;722583;0.89;Anti-Horario;2248.55
258;769476;0.51;Anti-Horario;7989.72
369;733312;0.85;Horario;3096.87
741;874951;0.82;Horario;2215.5
852;844630;0.15;Horario;21644.9
963;972837;0.38;Anti-Horario;26133.63
753;524531;0.97;Horario;33084.38
951;834882;0.2;Horario;3796.83
456;507210;0.42;Anti-Horario;30561.71
123;553427;0.94;Anti-Horario;34591.78
654;776077;0.61;Horario;264.37
987;416189;0.09;Anti-Horario;16242.11
798;746307;0.64;Horario;10904.3
147;364324;1;Horario;11852
258;982871;0.06;Horario;24795.59
369;386242;0.64;Anti-Horario;27804.21
741;472033;0.65;Horario;22899.42
852;619463;0.42;Anti-Horario;18076.57
963;373683;0.07;Anti-Horario;770.95
753;650557;0.31;Horario;12941.73
951;393805;0.89;Horario;5436.69
456;423981;0.63;Horario;9609.07
123;983449;0.71;Anti-Horario;32576.88
654;855089;0.33;Anti-Horario;21321.59
987;476736;0.27;Horario;23787.13
798;876363;0.32;Anti-Horario;34618.19
147;716961;0.52;Horario;29451
258;798317;0.8;Anti-Horario;18723.25
369;847067;0.24;Horario;21754.94
741;674011;0.34;Horario;4194.83
852;690538;0.93;Anti-Horario;12157.56
963;483909;0.7;Anti-Horario;25460.19
753;686088;0.82;Anti-Horario;485.72
951;801489;0.02;Horario;1057.95
456;735422;0.91;Horario;21844.1
123;874162;0.07;Horario;3239.36
654;775765;0.88;Horario;15673.13
987;906532;0.9;Horario;34078.53
798;725420;0.37;Horario;23728.64
147;714406;0.51;Horario;20123.78
258;614584;0.74;Anti-Horario;29564
369;496981;0.86;Anti-Horario;24653.05
741;605578;0.31;Anti-Horario;20399.76
852;545842;0.41;Horario;13111.18
963;328359;0.69;Horario;24686.52
753;337190;0.39;Horario;18466.34
951;767894;0.19;Horario;21334.94
654;419650;0.03;Anti-Horario;31265.3
987;563918;0.66;Horario;18133.49
798;814453;0.71;Horario;17595.71
147;890122;0.61;Anti-Horario;24093.93
258;346030;0.7;Anti-Horario;30947.7
369;733417;0.27;Horario;33866.89
741;914372;0.28;Anti-Horario;30269.65
852;967552;0.9;Horario;24934.8
963;898725;0.77;Horario;29831.55
753;680439;0.2;Anti-Horario;24283.83
951;653263;0.82;Anti-Horario;2093.4
456;823279;0.31;Anti-Horario;33593.62
123;794924;0.92;Anti-Horario;34550.88
654;522464;0.74;Anti-Horario;2298.56
987;772910;0.31;Horario;12113.69
798;380399;0.83;Anti-Horario;25560.1
147;960215;0.18;Anti-Horario;16812.45
258;675433;0.57;Horario;4793.29
369;949394;0.55;Horario;16160.8
741;956385;0.08;Horario;22020.67
852;427901;0.27;Anti-Horario;22763.61
963;828500;0.37;Horario;18803.73
753;886821;0.71;Horario;29149.51
951;681029;0.59;Horario;3443.72
456;374273;0.43;Horario;20580.1
123;913470;0.26;Anti-Horario;3895.1
654;983049;0.02;Anti-Horario;31506.47
987;631453;0.15;Anti-Horario;1521.56
798;817590;0.29;Anti-Horario;32513.66
147;624407;0.58;Horario;22274.54
258;734944;0.41;Anti-Horario;24860.01
369;547321;0.51;Horario;34447.29
741;559261;0.62;Anti-Horario;6220.14
852;899948;0.83;Horario;14287.42
963;665194;0.76;Horario;5888.64
753;902904;0.72;Anti-Horario;31934.33
951;794588;0.59;Horario;5401.47
456;625263;0.39;Anti-Horario;27998.44
123;721895;0.49;Horario;31412.83
654;558606;0.44;Horario;13471.41
987;457910;0.91;Horario;17157.78
798;635359;0.36;Anti-Horario;1175.63
147;655122;0.71;Anti-Horario;24067.16
258;367998;0.62;Anti-Horario;21083.1
369;978266;0.71;Anti-Horario;25581.68
741;420947;0.57;Horario;32948.49
852;772861;0.08;Anti-Horario;23788.62
963;474707;0.69;Anti-Horario;21269
753;549746;0.7;Anti-Horario;34972.57
951;532784;0.75;Horario;26588.32
654;827119;0.99;Anti-Horario;32449.25
654;597511;0.31;Horario;23272.97
987;665765;0.11;Horario;32631.1
798;516862;0.21;Anti-Horario;18701.91
147;642525;0.82;Anti-Horario;18903.04
258;408896;0.28;Horario;12843.29
369;585314;0.9;Horario;18593
741;718220;0.65;Horario;26953.22
852;666229;0.11;Horario;26143
963;754097;0.05;Horario;12547.6
753;745115;0.47;Anti-Horario;33447.68
951;768990;0.71;Anti-Horario;7761.37
456;737297;0.12;Horario;13606.49
123;568836;0.61;Anti-Horario;17613.54
654;330977;0.76;Horario;29913.79
987;381882;0.2;Horario;24198.47
798;563937;0.9;Anti-Horario;31311.02
147;852756;0.33;Horario;2164.18
258;497471;0.14;Anti-Horario;15988.5
369;849921;0.44;Horario;22406.22
741;714481;0.99;Anti-Horario;23016.62
852;436002;0.12;Anti-Horario;13538.59
963;805131;0.97;Anti-Horario;26752.44
753;576124;0.66;Anti-Horario;25561.65
951;546655;0.31;Horario;13992.35
456;591575;0.22;Anti-Horario;30887.36
123;331248;0.09;Horario;18048.51
654;906241;0.09;Anti-Horario;30173.73
987;938479;0.47;Anti-Horario;23825.15
798;586525;0.35;Horario;12010.59
147;865812;0.52;Horario;28154.3
258;456892;0.28;Anti-Horario;8018.54
369;614503;0.03;Anti-Horario;21168.31
741;535469;0.82;Anti-Horario;3871.81
852;921113;0.89;Horario;34720.64
963;529500;0.3;Horario;14185.5
753;649604;0.13;Horario;27502.87
951;695363;0.46;Anti-Horario;5343.68
456;729100;0.92;Anti-Horario;27635.29
123;563164;0.57;Anti-Horario;10035.01
654;529100;0.54;Horario;15085.15
987;581487;0.05;Horario;26013.39
798;964984;0.57;Horario;12280.06
147;368793;0.2;Horario;27620.13
258;946887;0.98;Anti-Horario;30750.4
369;342375;0.19;Horario;10426.91
741;885558;0.72;Horario;8417.71
852;702225;0.27;Anti-Horario;32544.77
963;663240;0.13;Horario;27434.36
753;807179;0.29;Anti-Horario;34455.81
951;696010;0.22;Anti-Horario;15458.75
654;467864;0.81;Anti-Horario;26982.15
987;461751;0.16;Horario;16260.3
798;344793;0.17;Anti-Horario;12047.6
147;360934;0.95;Horario;26987.09
258;401435;0.56;Horario;22476.34
369;821341;0.87;Horario;20711.88
741;886085;0.82;Anti-Horario;34231.84
852;738089;0.7;Anti-Horario;17353.58
963;535879;0.35;Anti-Horario;6159.15
753;908709;0.19;Anti-Horario;6430.36
951;511940;0.71;Horario;23203.98
456;491217;0.04;Horario;22646.89
123;597826;0.28;Anti-Horario;114.07
654;725061;0.93;Horario;30808.84
987;541533;0.77;Horario;7979.48
798;592788;0.91;Anti-Horario;23479.06
147;802942;0.58;Horario;30378.82
258;788611;0.97;Anti-Horario;15627.5
369;690821;0.97;Horario;25676.76
741;747935;0.96;Anti-Horario;19271.21
852;772067;0.04;Horario;4609.39
963;681828;0.02;Horario;22978.5
753;612386;0.03;Anti-Horario;1297.39
951;540648;0.67;Anti-Horario;32459.64
456;879634;0.82;Anti-Horario;9519.82
123;940185;0.3;Horario;30212.89
654;836172;0.87;Horario;21150.75
987;371533;0.61;Anti-Horario;15475.41
798;695684;0.88;Anti-Horario;28226.33
147;638454;0.96;Horario;27314.39
258;654288;0.41;Horario;6352.27
369;979901;0.59;Horario;28156.38
741;855938;0.12;Anti-Horario;4059.83
852;881738;0.77;Anti-Horario;33382.51
963;933437;0.89;Horario;16374.78
753;378520;0.44;Anti-Horario;11523.12
951;730753;0.49;Horario;27486.73
456;685013;0.99;Anti-Horario;25224.03
123;925109;0.19;Anti-Horario;10656.01
654;667742;0.3;Horario;1104.27
987;781034;0.79;Anti-Horario;1643.28
798;627297;0.83;Anti-Horario;16802.45
147;708569;0.52;Horario;31056.75
258;501456;0.73;Anti-Horario;24633.1
369;501448;0.06;Horario;8176.74
741;334852;0.74;Anti-Horario;29112.59
852;324041;0.83;Horario;10018.31
963;345621;0.41;Horario;4980.94
753;381367;0.91;Anti-Horario;9792.52
951;691855;0.66;Anti-Horario;11219.88
951;552057;0.84;Anti-Horario;33681.69
654;325484;0.42;Anti-Horario;5922.88
987;342317;0.47;Anti-Horario;31116.34
798;431028;0.99;Anti-Horario;25137.73
147;374994;0.74;Horario;7479.01
258;860783;0.53;Horario;5581.17
369;896115;0.47;Anti-Horario;4638.49
741;851573;0.77;Horario;34558.13
852;941515;0.9;Anti-Horario;29783.08
963;832690;0.66;Horario;25175.02
753;715396;0.3;Anti-Horario;17820.15
951;448149;0.93;Anti-Horario;14584.86
456;983432;0.24;Anti-Horario;33295.04
123;335435;0.44;Anti-Horario;24292.98
654;935184;0.46;Anti-Horario;1650.3
987;522192;0.79;Horario;7334.01
798;429413;0.86;Horario;32607.43
147;557068;0.21;Horario;3443.84
258;466644;0.94;Anti-Horario;34437.1
369;902076;0.64;Horario;2439.59
741;430778;0.25;Horario;30869.33
852;756051;0.68;Horario;24268.87
963;925017;0.95;Anti-Horario;6632.12
753;486733;0.03;Horario;29982.82
951;520606;0.23;Anti-Horario;13179.35
456;874326;0.64;Anti-Horario;711.01
123;556090;0.42;Anti-Horario;29826.4
654;323891;0.25;Anti-Horario;34516.64
987;602602;0.19;Horario;1964.24
798;630742;0.47;Horario;3055.36
147;753305;0.87;Horario;20028.84
258;624278;0.85;Horario;30558.74
369;571623;0.44;Horario;28688.15
741;423608;0.42;Horario;22362.62
852;630971;0.46;Anti-Horario;20529.88
963;679845;0.27;Horario;19250.75
753;543451;0.99;Horario;28626.52
951;685960;0.76;Anti-Horario;23678.91
456;707747;0.97;Horario;4945.36
123;985433;0.01;Horario;9743.04
654;804551;0.99;Anti-Horario;9114.94
987;413538;0.17;Horario;16757.01
798;346375;0.59;Anti-Horario;7233.38
147;863363;0.6;Horario;5802.37
258;801061;0.93;Anti-Horario;6953.75
369;949665;0.64;Anti-Horario;13986.92
741;921561;0.45;Horario;13614.03
852;895337;0.08;Horario;5507.42
963;831449;0.22;Horario;1273.71
753;521896;0.43;Anti-Horario;4817.79
951;682213;0.64;Horario;14863.61
654;679746;0.19;Horario;9673.01
987;734970;0.88;Anti-Horario;26637.69
798;631213;0.06;Horario;33169.55
147;776452;0.18;Horario;4683.75
258;724573;0.48;Anti-Horario;24434.34
369;825432;0.3;Anti-Horario;24735.93
741;646193;0.83;Anti-Horario;17769.27
852;407158;0.31;Horario;30053.78
963;921504;0.9;Anti-Horario;20545.72
753;450113;0.91;Horario;17908.98
951;570201;0.48;Horario;1826.01
456;544017;0.41;Anti-Horario;5401.47
123;391900;0.67;Horario;30819.75
654;390992;0.02;Horario;19154.62
987;707892;0.11;Anti-Horario;2855.83
798;876603;0.41;Anti-Horario;27546.77
147;940646;0.13;Horario;7026.88
258;705334;0.46;Anti-Horario;15472.47
369;986959;0.69;Anti-Horario;29819.48
741;473570;0.27;Anti-Horario;16321.74
852;959497;0.64;Anti-Horario;30725.4
963;700155;0.19;Horario;15135.93
753;367374;0.53;Horario;26833.88
951;489213;0.65;Horario;32006.26
456;437763;0.43;Horario;9144.91
123;916151;0.34;Horario;19266.62
654;599270;0.89;Anti-Horario;30413.31
987;902938;0.11;Horario;14189.37
798;476970;0.17;Anti-Horario;14104.84
147;461656;0.44;Horario;5067.41
258;869598;0.76;Horario;6854.28
369;897940;0.51;Horario;33933.79
741;465023;0.34;Horario;29995.45
852;515123;0.04;Anti-Horario;4536.96
963;947669;0.41;Horario;27601.98
753;512014;0.69;Anti-Horario;11889.13
951;481926;0.93;Horario;10717.43
456;655861;0.63;Anti-Horario;23954.05
123;646464;0.48;Horario;16793.61
654;572470;0.68;Horario;32145.95
987;439407;0.81;Anti-Horario;26940.13
798;684394;0.79;Horario;15040.29
147;545227;0.05;Horario;4998.46
