id,peso,velocidad,tamano
189,93997.56,33505.38,540559.65
190,82859.39,27964.75,102590.91
191,49616.92,28037.85,50218.78
192,21815.66,33860.63,685770.97
193,18045.8,29257,745774.43
194,92693.92,29149.92,694498.73
195,80574.36,27832.67,962799.17
196,69790.08,26494.09,992305.97
197,54951.32,26653.92,398225.92
198,6346.48,30321.28,76093.43
199,33716.28,27164.57,465547.5
200,52390.98,32228.36,88502.71
201,44418.14,32103.79,522952.4
202,79631.3,25292.24,252273.79
203,58601.3,32356.14,950250.53
204,6052.72,31909.99,981408.91
205,6816.77,25860.54,862061.89
206,62877.92,32868.9,879050.6
207,37163.05,28675.59,268284.28
208,54598.48,25880.17,92517.84
209,28771.45,30337.72,874183.12
210,17614.66,30987.05,807863.93
211,97739.73,27713.55,421411.54
212,87123.34,28090,634422.01
213,41169.76,27133.43,563092.14
214,51958.1,30789.13,229614.56
215,94418.98,26218.45,485495.93
216,39725.29,34607.68,97585.67
217,88183.03,30248.4,816419.38
218,5831.67,32952.56,753072.19
219,31670.51,26068.69,12790.64
220,74371.7,27626.62,965793.42
221,36059.01,29260.04,865333.83
222,43288.2,30345.98,795117.92
223,97627.1,32503.8,647286.53
224,88754.28,34001.65,139777.84
225,45026.94,30535.85,639583.2
226,69428.44,25668.35,540829.01
227,32732.38,26338.58,610505.02
228,92939.09,30988.18,785757.8
229,28809.55,26763.35,568862.36
230,35793.58,31394.6,812023.83
231,81494.85,28629.38,456843.06
232,19308.95,34202.71,179246.47
233,64281.17,34891.98,52796.33
234,61842.12,28120.15,572760.54
235,75599.9,25711.75,137813.01
236,57044.15,25563.34,593722.76
237,514.04,28754.33,349089.81
238,49007.8,34916.38,369263.92
239,26703.44,33502.58,744998.04
240,25599.69,34652.57,876933.42
241,87033.2,26471.83,914473.59
242,71135.66,33284.27,416814.14
243,58739.14,30886.41,546365.25
244,48961.83,32486.17,730460.87
245,25318.22,31691.83,213442.24
246,71412.48,27838.79,258245.72
247,30447.62,32720.38,169166.33
248,43972.21,28156.7,281102.16
249,84593.78,31816.16,588302.05
250,66465.26,33037.11,402124.45
251,24214.75,29649.15,275537.78
252,91569.33,27274.81,469152.1
253,58302.02,34587.35,617882.77
254,54493,31773.33,366237.15
255,19325.28,27505.16,929355.74
256,19464.26,31141.13,936006.74
257,22408.77,29619.85,995240.22
258,19042.56,27975.04,65002.66
259,14549.7,32170.37,391542.83
260,17021.82,28247.22,844720.84
261,31971.34,28838.5,64070.17
262,63871.48,29859.91,286450.26
263,44750.94,29671.91,407599.43
264,55532.34,34350.21,514050.87
265,67961.72,33292.85,822712.91
266,81323.32,30484.63,876351.13
267,15823.29,31996.08,467577.85
268,3100.28,29051.88,561855.47
269,29153.78,34709.04,450905.7
270,55354.98,33605.28,969037.78
271,83160.68,28202.36,416979.59
272,39154.9,26246.65,907084.22
273,8523.1,27540.71,187325.94
274,52859.69,26925.89,344087.76
275,91614.51,32218.13,693790.11
276,38752.15,25641.78,460166.74
277,14915.93,28138.05,544409.08
278,43755.18,33000.38,112894.78
279,57186.04,27994.14,873170.13
280,75450.03,25103.33,24627.23
281,26277.33,25781.18,506002.81
282,17371.23,32067.57,475152.05
283,56142.95,29676.92,826911.04
284,13706.71,26331.39,117074.79
285,15682.92,33226.79,637961.48
286,86879.8,29826.81,905771.45
287,4847.06,30856.72,694926.21
288,70454.59,33184.49,546581.19
289,97275.47,34427.89,930753.15
290,35557.84,30992.34,716554.86
291,28460.91,34745.16,979619.35
292,35210.89,30602.75,178736.01
293,23532.94,33394.73,338302.75
294,51326.91,26661.96,94188.7
295,19522.39,34057.77,108656.91
296,2537.25,29362.37,155270.9
297,82159.68,26900.54,947369.51
298,19881.27,28563.15,872456.8
299,9313.74,34420.28,859133.2
300,19786.07,26930.4,450579.66
301,68991.37,31240.61,516884.93
302,7463.14,26311.49,810306.48
303,43470.95,33118.26,888868.89
304,2607.14,25273.5,501969.56
305,8556.54,31652.39,107257.37
306,43405.82,33422.65,683556.14
307,81234.31,31975.02,126509.04
308,57401.21,26044.18,691975.31
309,52728.81,34387.68,23813.11
310,71910.05,32943.6,473824.19
311,25108.16,28536.62,868068.95
312,84161.03,33084.24,341280.54
313,74051.99,27401.3,583835.54
314,39122.64,34091.57,452791.98
315,51681.11,33194.33,370383.08
316,38045.86,27728.71,639976.01
317,16173.23,30653.6,866860.36
318,655.19,31907.16,296359.23
319,67394.28,29915.44,271849.99
320,38003.3,25067.15,619436.31
321,53968.11,30337.12,85332.21
322,72749.09,32793.55,816608.08
323,38213.17,30797.97,47006.65
324,50085.64,29711.25,724815.68
325,9544.41,32986.25,56571.75
326,35352.38,33086.11,691048.57
327,37985.29,25758.37,756075.39
328,15345.07,32827.98,778398.46
329,11629.8,26856.05,791303.2
330,5641.64,27395.22,65890.61
331,95720.07,34035.48,504817.6
332,97213.11,27632.24,722042.73
333,28057.86,29587.15,118982.86
334,49596.94,25556.12,804382.7
335,82918.3,25243.47,751007.25
336,91175.52,33577.21,634845.25
337,38749.25,34524.95,522654.59
338,20519.19,29736.55,749078.08
339,11893.47,27593.23,455810.25
340,78592.37,32706.26,545341.84
341,61236.71,34073.91,393247.78
342,2173.55,25531.46,266129.69
343,54787.12,27572.74,567169.31
344,81829.06,33603.52,183391.75
345,15712.01,25464.44,788108.5
346,2106.92,31473.98,228103.88
347,86890.14,28443.32,187031.75
348,87705.51,27134.07,288810.25
349,94785.98,26947.53,108911.78
350,47247.72,25707.82,234784.57
351,30693.32,32720.29,576450.76
352,51297.76,26752.28,603522.85
353,42374.1,34311.21,834230.03
354,27566.47,33554.38,968866.44
355,1102.39,29658.9,433021.6
356,21359.62,32923.35,761223.87
357,48159.72,33569.36,9081.13
358,15902.24,28699.39,366520.59
359,77495.23,33613.85,125434.95
360,69450.05,30042.02,63285.53
361,66315.51,30931.91,809956.83
362,88424.71,29639.81,254960.56
363,87717.97,29875.47,483301.08
364,25097.44,26280.25,88382.82
365,19631.14,29964.91,314671.1
366,53847.01,33909.43,544588.48
367,2680.22,27622.24,513826.03
368,15445.3,26687.05,214920.83
369,56438.61,27414.27,264000.45
370,24244.61,26221.4,874997.3
371,44646.57,29642.78,824143.32
372,1031.26,27325.67,459238.02
373,28917.66,32565.69,724551.39
374,47434.14,31446.31,208204.66
375,75357.67,31698.07,984792.35
376,46601.8,27579.65,232975.54
377,74680.83,28368.13,375664.46
378,56114.01,30558.6,38438.01
379,90310.56,28976.53,116142.39
380,954.12,29312.05,307937.92
381,74638.07,28563.57,534390.55
382,72362.15,31226.51,835785.55
383,85383.28,28724.82,936979.15
384,98752.21,30418.59,994506.83
385,83313.28,32596.12,293970.08
386,63427.99,32197.03,775562.2
387,46052.05,31764.59,671266.89
388,85796.59,30941.27,879713.9
389,16090.49,27004.66,969131.03
390,73722.76,31090.33,34614.99
391,7252.5,29550.51,806579.83
392,63073.55,26344.92,750264.25
393,77555.61,33655.29,777749.21
394,78386.82,29558.96,948793.97
395,35424,27821.58,636977.56
396,55490.4,29052.44,843975.49
397,73645.86,26329.26,328832.29
398,68266.01,33918.28,598855.04
399,90874.07,33227.79,307322.72
400,70570.33,34633.26,599509.75
401,28978.65,31782.91,282544.26
402,28825.27,29281.89,814234.3
403,18142.5,32206.11,556781.71
404,81582.62,29635.54,891558.84
405,94876.16,32541.92,219275.41
406,69943.9,33955.01,25253.5
407,40482.2,25111.6,690942.55
408,99560.53,25837.26,553546.16
409,88638.88,25943.57,705521.67
410,74257.86,26948.4,831693.86
411,46356.33,31892.06,285175.08
412,97515.08,26075.55,901182.82
413,96265.26,30047.95,531568.1
414,61744.18,29937.16,115452.45
415,46569.75,34289.83,391268.18
416,54318.49,25131.51,340072.9
417,93469.1,30048.63,71364.98
418,59604.3,29784.73,491499.66
419,28413.3,30500.64,286166.9
420,98371.07,28359.6,171250.57
421,92773.74,27202.28,45354.4
422,28005.58,31683.17,931605.39
423,94480.37,25113.68,877154.88
424,13709.45,32181.06,110176.55
425,11720.91,33160.62,139821.69
426,77233.97,27142.88,196501.03
427,95395.94,27934.55,238339.29
428,95890.38,30536.7,682930.96
429,72024.72,32223.53,252302.37
430,84123.89,34806.02,487296.31
431,71906.17,33420.76,326881.01
432,95318.73,25675.46,119004.41
433,64702.6,26464.65,134172.44
434,86237.58,32799.17,482729.41
435,90557.4,33007.57,549924.14
436,85731.08,30621.55,222360.47
437,35014.21,32060.72,105410.14
438,63918.53,30872.5,952133.56
439,67985.89,30109.33,642110.82
440,48064.13,31094.65,88846.72
441,40457.64,30696.43,678853.48
442,69110.06,25519.52,427736.31
443,38467.56,34659.48,58471.8
444,99526.15,30447.22,544756.1
445,12153.54,31413.16,58142.2
446,76112.75,28542.8,141918.32
447,79543.69,32312.36,811465.88
448,46581.99,25994.79,656296.51
449,3647.66,32239.15,376003.17
450,83132.97,30379.36,170130.95
451,46007,33575.3,796102.14
452,99558.42,28577.12,636673.38
453,27873.23,27322.62,56184.39
454,682.94,31250.89,233901.02
455,42132.17,28680.27,8714.15
456,25946.9,25939.98,797402.86
457,43146.37,31853.23,909618.21
458,37348.78,27059.53,893104.79
459,12907.41,32428.37,900204.17
460,61484.3,29838.47,723146.89
461,71406.58,26562.02,26913.64
462,2672.58,25120.63,972176
463,56053.39,33341.07,804291.84
464,37960.94,27094.49,905251.63
465,87437.81,34226.31,972722.43
466,3631.62,27934.86,602587.01
467,60285.36,28459.24,672060.83
468,81918.1,27691.34,606017.28
469,4235.92,33787.31,609765.15
470,58096.2,27590.56,195868.88
471,14599.96,27596.37,567360.45
472,76941.38,28504.68,955699.18
473,98264.54,25962.1,676395.86
474,30258.13,31403.79,92888.16
475,93660.13,30637.23,650913.03
476,83663.21,29366.41,166581.27
477,78900.35,31237.86,33710.33
478,18197.97,32895.94,957992.37
479,81705.31,33171.6,565039.15
480,90283.6,25570.49,962691.49
481,5239.34,29342.13,29102.3
482,33580.69,31933.31,956019.69
483,40358.11,28641.47,945137.05
484,23280.81,28337.55,724053.29
485,93179.99,32911.91,458364.21
486,92048.11,27486.92,577832.18
487,40400.47,33252.6,423749.12
488,96961.98,34205.13,377032.5
489,33373.09,31983.51,335353.62
490,66067.2,25890.31,457357.07
491,90097.09,32802.83,439835.51
492,44043.27,30252.88,676544.04
493,81375.46,31898.11,526907.36
494,96058.76,31284.37,421701.03
495,74133.54,34511.43,716844.01
496,92530.11,29957.6,746886.68
497,81822.18,29709.57,375321.53
498,67065.83,27515.34,243683.25
499,74291.32,30100.87,591295.61
500,82324.6,33197.98,244101.12
501,99369.62,32246.1,862352.01
502,75049.87,32813.11,41125.83
503,76343.6,33150.71,684629.69
504,23845.57,27396.65,685128.82
505,64319.73,27077.77,137235.53
506,72938.32,29505.63,958991.72
507,50703.35,30444.36,688620.46
508,90319.64,32187.16,172819.72
509,40691.31,25894.9,211053.09
510,39160.46,34178.93,611214.57
511,30828.97,28921.57,758526.6
512,25424.26,32612.17,841536.25
513,91958.51,34245.21,860597.16
514,97968.18,34675.04,866184.5
515,97890.36,32618.75,656381.72
516,75657.22,31852.71,931042.06
517,23103.21,33113.05,325276.02
518,55490.85,32221.73,620166.78
519,48268.31,33185.69,101236.59
520,56670.1,34141.37,990677.82
521,91919.05,26618.96,38610.96
522,62424.38,26327.96,660037.22
523,95320.67,32449.35,57324.61
524,16650.38,25691.42,965814.02
525,73590.25,25777.99,47842.98
526,36831.57,32285.97,322908.89
527,97236.6,33586.57,329585.06
528,25846.73,27417.05,524372.62
529,54898.32,26933.92,240486.49
530,40956.17,26543.97,694285.68
531,36855.51,27727.19,696541.79
532,13999.71,30581.72,910495.6
533,20016.67,33756.06,93550.34
534,51198.01,31988.84,100435.68
535,84187.24,32407.19,152860.57
536,86150.62,34805.03,650831.45
537,19525.44,26853.75,35953.58
538,17868.4,34069.26,53359.77
539,12418.64,27560.83,161249.14
540,92831.2,26618.32,155748.28
541,31864.05,27014.67,827156.67
542,47157.62,34159.74,642571.16
543,73698.44,30044.82,897254.61
544,39465.21,30814.83,719438.63
545,45755.76,30252.76,277861.49
546,44382.41,28408.83,518229.96
547,94498.48,27364.31,758873.28
548,26797.6,34177.8,753303.51
549,94473,33707.96,441121.19
550,8486.12,34667.62,450402.14
551,71023.36,33779.99,805918.1
552,30928.58,32057.65,688192.33
553,60227.02,28717.95,822914.3
554,11381.38,33014.79,243809.74
555,83849.01,33037.15,544828.53
556,97342.67,33032.47,11683.35
557,69027.67,26245.47,773710.58
558,63096.23,34673.28,480505.41
559,16848.55,26601.44,511219.49
560,61385.37,31804.11,59293.46
561,24984.99,27554.96,525459.81
562,97231.23,34675.07,199156
563,22892.68,27811.69,744059.1
564,23225.84,30201.12,997375.33
565,57932.16,30435.29,520740.39
566,65018.82,30871.48,323742.12
567,91404.07,28064.68,736939.97
568,67279.4,28674.99,715258.8
569,69337.03,32646.89,125843.61
570,29769.56,32744.01,148014.67
571,31763.07,26554.49,261697.12
572,55229.52,25185.41,328735.38
573,48856.72,32924.87,715957.81
574,87984.39,30769.92,502693.22
575,16590.99,31973.96,425942.34
576,1452.72,26775.6,3096.65
577,1741.61,30652.16,566076.09
578,97096.18,31112.1,626790.9
579,26773.7,26631.54,691326.89
580,18154.12,27894.3,513722.1
581,4043.56,29108,488032.4
582,47156.05,26214.12,663064.5
583,19863.22,31719.84,2444.86
584,98828.62,28689.03,963318.79
585,64524.65,31267.55,267735.08
586,67645.21,27377.3,719633.53
587,55356.85,33939.55,713158.4
588,92735.69,27294.94,292657.97
589,79105.41,30884.41,181650.02
590,53820.98,27326.45,39524.09
591,36536.1,34067.5,468115.7
592,16472.11,29291.98,94182.11
593,31893.35,26537.05,338032.07
594,65082.73,31694.96,39297.87
595,25549.65,34990.42,181560.99
596,46870.67,34662.05,160675.17
597,61341.11,30806.71,424296
598,29670.79,31890.86,984943.8
599,34434.54,31047.47,64883.15
600,96459.93,27131.75,56909.58
601,59744.02,25511.49,128211.51
602,25783.04,25398.45,716582.34
603,7600.98,29862.71,320934.85
604,783.07,34476.97,743712.03
605,99514.65,33740.78,28077.67
606,40894.42,32656.22,923115.21
607,9836.19,29006.33,998266.21
608,39695.71,26456.42,999233.5
609,60576.01,25032.16,670217.11
610,71396.52,34478.09,130086.99
611,1453.61,27986.44,192946.06
612,17396.97,34527.98,330758.21
613,10653.42,29660.69,382253.34
614,41935.17,29171.72,615680.34
615,70160.94,25021.84,154966.23
616,14288.46,31171.39,768460.97
617,76773.79,28580.31,756760.81
618,48489.53,27383.63,738709.26
619,57015.44,30325.7,708255.42
620,48602.27,29022.37,999333.77
621,32801.04,27453.34,724889.54
622,45773.5,34563.01,40328.26
623,84007.72,31188.77,538078.68
624,55910.5,34226.21,476667.1
625,3675.69,32073.95,330293.57
626,55775.34,34763.97,863865.98
627,53210.94,29296.37,271345.5
628,12651.04,28806.54,111682.5
629,80338.29,30023.26,939477.46
630,81651.88,28385.61,463583.27
631,18959.46,26741.54,210742.78
632,61202.71,34404.73,362710.19
633,48691.42,30212.06,895048.08
634,52395.35,25754.01,665783
635,34739.49,28883.6,263270.6
636,49394.9,31288.84,102163.81
637,22173.14,30077.81,304794.35
638,97495.74,29031.38,507852.49
639,4575.95,29440.19,675360.71
640,46975.56,31187.65,37522.47
641,77646.63,27220.02,389831.9
642,92130.89,31347.17,298753.91
643,59410.35,30889.26,612718.34
644,26900.81,31095.68,656341.65
645,46187.18,33808.55,38844.47
646,16933.26,32039.85,87499.01
647,1338.92,34273.13,989867.62
648,44047.35,30026.63,864481.75
649,21401.49,25585.19,577928.91
650,8197.92,30458.17,517588.08
651,58479.78,25516.22,396720.1
652,85342.13,34173.86,402009.69
653,16628.41,28190.31,586834.83
654,80929.17,29518.54,485131.88
655,17689.71,34324.09,237256.93
656,50422.41,26383.85,89197.53
657,24474.6,28230.62,493131.45
658,18704.74,25752.22,563703.07
659,80463.22,27849.66,168407.33
660,56700.05,34703.89,355815.48
661,16088.73,29017.32,827988.86
662,5248.01,34989.79,401675.58
663,48509.7,34533.84,474859.37
664,1028.75,31897.49,10669.36
665,9687.92,27159.77,739451.28
666,49364.82,27152.23,675125.51
667,90291.84,29926.06,463083.78
668,27726.64,30953.25,694661.36
669,62712.85,31797.17,849046.38
670,53646.36,33984.54,509343.66
671,50534.38,27747.79,850481.81
672,80235.58,34940.74,559435.62
673,49876.31,34450.91,317752.99
674,64770.36,29834.44,538948.98
675,44246.86,30593.55,127457.53
676,63744.79,26202.98,211019.39
677,99872.23,34710.28,744476.93
678,23338.35,27829.54,650868.32
679,27622.49,31636.92,579915.51
680,473.35,31552.22,586995.07
681,99134,28974.2,968808.74
682,43860.54,28847.61,426378.83
683,80832.08,31469.81,862090.84
684,61027.43,25621.75,694268.46
685,23788.77,26695.92,976387.78
686,25792.83,29709.27,118255.92
687,11143.43,31611.88,440210
688,72580.91,34731.14,30245.15
689,91209.27,30008.96,996656.53
690,58761.94,33002.09,79828.35
691,88996.69,30761.87,26132.57
692,71055.88,28284.25,947216.21
693,32148.72,26679.05,566897.07
694,51606.98,25575.61,591628.73
695,51817.74,33250.03,234451.75
696,14630.22,28665.97,279509.5
697,35408.89,25579.93,682176.04
698,3398.37,31687.17,535601.09
699,90394.14,26479.59,844026.15
700,605.32,28004.67,781421.05
701,16455.01,27902.02,71117.14
702,50380.14,25005.26,832259.86
703,94675.91,28321.06,338634.05
704,81637.43,34165.82,810645.86
705,94399.35,26131.02,138880.75
706,22231.21,31213.13,156680.1
707,2661.46,27701.69,682252.09
708,50962.85,26529.17,841940.86
709,56755.9,31803.7,558871.16
710,65574.85,31272.51,238236.38
711,62063.32,30629.98,471574.17
712,24000.64,26818.74,903091.71
713,14793.23,30294.8,715892.85
714,97281.48,25535.02,211890.24
715,77772.31,30155.47,740306.78
716,56846.51,32896.51,269369.9
717,19702.05,30910.26,182240.6
718,84963.34,33165.44,81751.88
719,15708.75,25984.76,250501.37
720,62006.3,31300.23,109304.01
721,4664.7,29935.08,595962.56
722,70755.31,29375.06,119697.23
723,21219.57,30897.12,327495.02
724,21081.18,32704.71,660872.07
725,57517.46,30984.33,811740.18
726,99120.92,28336.17,275851.65
727,48802.63,25649.35,444084
728,2523.97,25510.64,367348.64
729,52875.74,25596.62,868297.9
730,20534.11,29119.79,258334.58
731,87770.49,32030.19,407291.61
732,70880.24,28328.07,926278.64
733,89734.51,26963.85,854309.25
734,26086.49,32009.42,57798.55
735,56252,29722.57,437175.86
736,94440.08,27972.58,574486.44
737,81991.56,26446.69,577712.75
738,4178.33,30828.28,832398.85
739,40537.5,31241.85,928298.29
740,7370.83,30477.57,418847.84
741,51901.89,28748.76,596310.57
742,54814.36,32920.32,233821.14
743,97653.85,27333.06,335479.02
744,99390.63,33883.47,620963.32
745,30857.42,26469.7,702622.56
746,40610.13,26852.47,867805.84
747,31697.01,25259.24,326749.02
748,52203.09,32160.39,594495.14
749,24010.42,33951.44,268102.17
750,91783.67,28581.71,648294.39
751,85821.12,30244.34,821031.92
752,28069.89,34030.57,910537.32
753,22215.67,30495.47,432223.95
754,81847.72,32865.24,542389.15
755,26292.02,29155.89,600753.32
756,81451.68,31602.4,845899.46
757,96997.16,27313.84,17539.16
758,83835.81,30310.35,154662.35
759,70099.07,28646.97,828261.21
760,47572.56,31481.83,726940.37
761,90502.67,26761.89,249762.22
762,90619.85,27147.2,73561.09
763,80273.33,29902.06,134959.22
764,68226.92,27799.66,907446.79
765,7914.04,29462.49,610278.41
766,70020.68,32748.37,611398.38
767,5330.55,26591.03,801152.15
768,2862.19,28576.11,287608.8
769,17886.16,34048.96,348115.08
770,79672.94,33532.39,446391.08
771,27114.76,29566.55,899609.47
772,78974.06,31935.97,890504.72
773,96003.94,29978.98,96814.99
774,18415.5,32047.68,561911.64
775,70281.58,31010.19,226038.75
776,27240.23,27806.36,459426.27
777,40552.19,30419.23,459951.76
778,44292.37,27317.04,371922.55
779,66684.81,29007.71,957476.45
780,80062.44,26590.3,910972.77
781,51558,34574.02,715865.27
782,34806.39,26765.01,358905.5
783,97895.01,34202.64,723572.5
784,89616.13,34241.25,269197.78
785,64630.9,25437.36,676251.82
786,99962.08,32914.31,956408.64
787,6286.32,31067.52,703091.69
788,83641.52,32130.04,690534.14
789,29629.52,34572.78,402004.51
790,35827.33,33665.06,8602.97
791,81985.48,28799.5,592149.16
792,8359.72,25800.17,782041.33
793,88013.38,29094.59,151383.17
794,65263.91,26702.53,494902.17
795,57430.44,29841.22,592720.14
796,19527.86,28869.81,971891.89
797,70639.75,26220.63,670446.8
798,73408.73,33846.26,390024.74
799,43846.74,25229.98,131610.72
800,90170.52,34655.29,511557.1
801,34866.05,30041.55,966060.35
802,57596.61,32191.61,296014.16
803,955.94,30961.99,512751.76
804,38889.65,32833.45,128249.88
805,45404.83,28401.31,228555.02
806,32480.19,25285.16,4488.32
807,56514.35,32020.15,266331.17
808,6131.29,31187.7,745135.49
809,42767.09,26605.31,577876.95
810,72262.02,30114.56,924407.39
811,87271.57,34756.96,902063.86
812,50354.08,34855.62,999202.83
813,70932.17,31278.15,165553.05
814,96731.76,25684.38,899991.56
815,65504.12,28669.54,159124.64
816,18003.6,32004.54,875989.42
817,62071.12,30157.53,662494.67
818,85424.14,32805.59,851030.01
819,37023.57,26556.27,12553.56
820,6640.73,30731.65,763003.66
821,75790.63,31950.54,445633.34
822,14036.07,26921.42,643434.06
823,85499,25114.83,869832.33
824,46359.24,25659.29,891917.93
825,50166.71,28111.41,871497.69
