r,delta,theta,fecha_pos,id_pos
616.54,375.68,203.31,1915-07-12,824
440.05,556.21,737.64,1974-09-10,952
652.57,843.76,639.74,1977-10-27,641
979.98,675.12,535.64,1915-09-26,716
252.85,939.95,266.93,1903-08-26,977
583.09,747.54,765.1,2007-04-07,726
538.17,763.6,596.66,1901-05-29,789
21.26,785.79,153.16,1905-01-26,803
508.36,667.21,45.19,1986-02-09,431
961.66,478.81,994.61,1949-08-20,601
879.7,594.66,245.95,1904-06-15,828
226.01,26.66,827.21,1929-07-25,6
748.93,577.36,245.36,1912-11-11,195
273.5,451.88,943.42,1926-02-24,584
915.75,614.12,508.42,1912-06-01,548
782.55,249.27,897.86,1987-10-03,226
30.86,210.98,385.55,1931-08-07,652
450.51,850.58,204.85,1934-02-03,876
910.85,394.16,789.45,1984-08-06,15
487.31,667.28,440.97,2001-11-15,689
265.49,475.18,218.06,1993-11-07,189
308.11,891.57,778.94,1980-04-04,448
984.44,361.84,134.24,2017-09-27,439
143.94,58.64,947.7,1945-01-25,96
666.19,412.06,436.76,1972-06-16,533
11.17,28.94,839.99,1914-09-07,969
627.69,877.7,839.79,1986-08-16,615
592.79,540.41,135.35,1980-05-28,848
273.92,59.44,460.93,2012-12-19,615
710.3,771.52,298.61,1922-06-27,33
722.34,8.42,316.24,1907-11-04,562
369.61,487.68,605.76,2007-08-03,754
473.48,233.22,543.33,1985-12-09,852
922.88,747.41,503.81,1973-07-22,649
796.81,485.82,412.66,2010-02-14,302
894.9,150.11,458.3,1953-11-16,310
422.58,213.6,192.09,1900-09-30,469
891.95,949.03,852.45,2015-11-15,790
508.42,590.84,719.49,1972-11-15,432
745.97,88.77,71.83,1953-05-05,511
804.88,73.12,953.71,1904-04-29,418
372.78,776.16,648.81,2012-08-09,528
386.4,985.49,833.71,2019-10-15,755
340.46,533.47,956.99,1909-03-30,917
281.59,341.89,699.2,1908-03-07,236
277.54,717.56,182,1976-12-11,516
924.52,510.3,671.47,1940-02-05,728
239.07,326.83,862.79,2008-02-23,70
846.79,312.45,382.32,1906-01-15,271
731.93,3.52,475.69,1993-04-21,286
716.29,110.2,437.96,1999-06-30,346
213.05,312.98,186.6,1949-11-20,254
361.97,191.43,521.3,1901-03-05,690
308.57,202.94,235.35,1981-04-21,966
124.81,336.51,861.93,1939-07-31,447
192.71,408.71,571.53,1916-09-28,116
428.92,1000.59,66.98,1947-08-09,811
966.33,520.04,862.24,2008-07-12,946
48.84,2.07,979.49,1970-12-02,184
299.9,954.99,6,2016-10-05,937
385.71,182.78,812,1959-10-09,732
479.96,361.44,727.05,1971-05-31,829
702.86,52.13,182.05,1998-04-03,79
309.89,754.25,177.37,1909-10-07,89
454.68,899.54,30.64,1923-09-30,446
513.65,298.29,518.99,2011-11-10,135
742.94,93.22,970.62,1977-11-17,518
627.65,582.19,321.13,1910-10-04,925
10.24,81.67,674.98,1918-02-26,80
888.57,812.12,360.66,1900-11-01,555
53.73,653.01,843.3,1937-08-16,877
248.3,326.19,205.2,1941-12-05,360
975.16,506.64,644.18,1971-11-02,857
897.92,213.53,196.24,1954-12-17,888
163.97,586.81,320.19,1996-04-25,980
528.26,276.08,583.19,1956-11-25,842
239.46,747.54,408.57,1967-05-12,493
593.83,944.17,613.52,2013-09-07,51
857.81,603.09,403.25,1924-01-22,592
484.86,65.87,786.81,1935-10-15,525
916,106.51,352.03,1986-09-19,321
934.43,330.52,937.54,1909-05-19,205
882.68,965.41,380.59,1921-07-21,712
616.1,492.74,186.97,1967-08-03,975
187.21,963.46,421.56,1992-09-25,768
334.15,947.4,707.67,1908-10-24,884
441.32,492.74,457.81,1907-07-31,230
136.62,419.92,222.34,2011-09-03,667
772.13,569.2,92.28,1978-03-28,611
97.25,318.65,278.82,1974-09-09,662
621.39,318.46,806.48,1967-01-24,322
17.32,736.47,490.58,1953-07-05,374
314.24,762.33,377.63,2014-01-04,146
120.95,334.18,769.11,2013-03-28,792
429.7,960.34,775.45,1999-06-12,872
309.87,173.66,437.3,1934-06-24,733
314.54,358.14,394.9,1991-07-05,228
185.79,976.72,70.63,1922-03-30,255
827.81,157.54,343.73,1933-04-23,47
610.16,453.24,235.94,1965-09-08,417
738.05,557.87,640.61,2018-11-07,322
724,905.97,781.34,1927-12-29,206
659.22,206.97,942.66,1917-06-02,574
380.01,245.88,224.68,1928-07-03,922
352.06,938.36,385.29,1949-03-16,733
897.95,170.24,365.38,1908-12-17,882
723.7,632.75,416.63,1902-08-21,109
992.39,970.41,67.2,1992-08-31,351
777.17,506.3,143.9,1985-11-08,441
450.97,511.29,95.58,1988-10-16,384
378.52,305.42,896.79,1903-05-22,152
215.6,734.8,824.46,1998-11-29,817
930.34,632.14,502.58,1979-10-12,520
556.11,811.36,667.62,1991-11-28,972
809.66,790.7,461.47,2004-08-06,162
625.35,825.34,62.27,1985-08-30,2
702.85,674.61,50.64,1980-08-06,713
828.45,502.89,85.32,2011-12-03,48
952.54,329.01,657.59,1989-08-11,245
518.32,750.47,242.69,1948-09-24,647
980.53,81.48,941.81,1986-11-23,761
578.74,190.52,480.69,1930-05-25,284
88.67,469.26,651.39,1929-09-17,98
627.95,110.85,876.77,1998-12-19,468
775.77,238.08,567.99,2008-08-25,839
716.05,652.81,505.75,2005-01-02,725
445.07,917.23,214.58,1917-06-15,279
896.69,993,536.26,1947-04-13,382
719.97,44.1,186.83,1992-08-17,624
588.54,924.51,48.08,1974-12-19,458
714.06,900.13,542.09,1965-08-15,566
629.78,112.59,806.04,1958-08-10,281
936.11,789.81,317.79,1930-02-28,340
150.47,36.27,637.94,2014-09-07,247
982.9,358.16,401.78,1994-05-11,132
514.19,87.43,354.01,1993-10-17,860
274.36,247.52,745.81,1987-01-01,763
323.73,283.06,636.53,1913-12-26,54
172.72,378.38,146,1984-11-07,926
817.3,469.27,351.03,1916-06-22,407
583.65,397.4,179.42,1962-12-24,860
633.38,703.1,638.88,1961-12-13,800
118.34,332.67,716.63,1918-09-20,463
592.78,650.82,842.46,1965-10-26,922
654.09,130.48,179.88,1958-03-28,520
790.42,721.84,955.71,1960-04-14,390
266.42,701.99,156.72,2019-04-23,803
616.12,775.49,103.86,1935-06-13,12
322.33,162.46,507.58,1935-04-07,246
273.94,49.85,319.86,1949-11-13,548
557.65,451.97,511.3,1984-04-24,563
28.59,355.8,376.45,1915-04-03,725
970.29,246.56,434.38,1954-03-18,217
796.77,915.97,492.57,1906-12-09,849
600.34,672.1,678.93,1904-01-23,513
234.38,364.8,735.39,1984-02-23,819
30.98,809.29,91.59,1999-02-13,622
860.82,510.82,169.86,1922-08-10,937
621.48,770.98,507.56,1987-09-25,266
768.06,944.51,643.25,2007-07-05,529
87.17,770.83,108.3,1964-05-01,473
701.52,623.8,791.1,1990-04-19,29
95.7,699.51,557.56,1938-03-20,562
278.4,49.29,976.28,2014-03-12,29
462.78,834.88,821.18,1944-03-20,952
877.97,181.89,160.51,1982-01-27,462
860.73,321.51,676.17,1932-08-08,747
634.39,403.66,916.35,1911-09-15,532
614.08,139.99,66.48,1989-04-03,469
51.92,797.7,13.2,1933-06-07,384
188.95,737.4,562.05,1913-10-05,409
579.26,889.57,262.41,1908-11-05,570
579.78,623.13,372.91,1910-04-26,736
526.5,917.91,846.32,2001-01-04,870
14.82,407.97,811,1904-02-29,524
667.49,671.39,693.94,2000-04-15,402
475.2,400.17,481.72,1982-05-15,801
2.53,566.42,973.99,2015-05-16,871
737.69,161.27,580.58,1990-03-19,103
417.92,888.57,970.56,1953-05-24,329
901.74,870.75,926.07,2011-10-16,491
880.95,866.63,651.15,1994-03-13,983
757.24,705.24,216.98,1963-11-03,867
224.75,892.12,801.75,1972-04-10,672
238.55,447.57,567.88,1983-05-13,499
352.31,549.13,394.9,2012-09-01,934
752.29,765.99,973.28,1911-02-17,604
399.44,634.11,666.28,1923-12-29,843
906.14,912.08,630.64,1989-01-04,32
75.92,381.43,567.63,2009-08-04,495
553.99,270.88,523.62,1985-04-13,733
111.95,930.37,235.17,2014-01-06,284
49.03,16.81,356.16,1934-10-10,625
376.7,27.54,734.38,1924-11-19,504
240.68,593.18,911.91,1904-09-08,221
559.5,191.36,268.08,1980-11-04,432
2.15,497.38,633.51,1970-08-31,922
888.95,45.95,675.47,1957-01-09,178
118.31,541.39,524.23,1999-10-03,200
423.88,133.56,417.73,1940-05-15,76
708.39,629.93,575.98,1955-06-07,164
128.36,211.56,844.64,1923-06-15,87
349.83,413.89,750.08,1922-06-28,704
923.91,704.5,285.72,1904-04-13,546
413.06,304.42,957.52,1911-07-21,862
678.03,906.78,569.94,1986-01-22,512
484.5,804.2,344.79,1952-05-01,651
566.62,558.08,610.66,2007-05-04,880
537.55,432.69,171.78,1903-10-06,783
797.66,328.21,650.34,1998-06-08,544
112.87,238.98,702.98,1936-04-27,839
780.99,216.62,846.85,1934-08-21,721
494.19,673.12,993.45,1920-05-27,871
211.84,832.15,288.81,1926-06-10,535
322.85,153.2,11.66,1952-02-18,516
474.97,377.24,140.58,2008-05-20,779
995.4,657.15,538.6,2002-10-19,970
54.93,259.21,607.38,2003-06-05,669
201.2,107.31,489.41,1920-04-01,161
760.6,439.65,115.6,1953-07-28,525
295.05,352.81,459.21,2011-11-28,683
730.94,737.34,904.12,1919-11-09,10
349.69,922.8,651.91,1939-10-24,224
745.91,705.02,794.47,1945-07-10,200
166.43,823.6,282.49,1995-12-21,295
913.4,34.74,14.14,1950-01-02,34
576.89,830.62,190.7,1918-11-24,627
63.98,261.09,550.39,1933-11-03,530
699.57,505.33,277.37,1927-05-13,374
15.33,189.21,146.4,1976-03-04,226
154.9,323.67,699.4,1961-10-31,90
861.54,868.07,129.13,1957-11-19,129
477.72,605.03,522.21,1958-01-30,653
88.48,216.04,61.28,2002-02-22,822
127.91,445.3,854.36,1927-02-24,413
268.95,482.15,127.73,1912-10-31,578
867.19,137.64,972.3,2004-04-13,103
273.62,518.69,199.08,1996-08-03,890
387.85,292.77,689.79,2004-11-21,935
605.18,493.81,434.54,1901-05-01,360
515.28,106.14,696.2,1987-11-26,307
208.48,911.15,262.19,1931-07-01,896
259.67,944.7,39.7,1950-03-14,789
116.7,709.08,784.08,1912-05-10,597
721.66,268.52,458.03,1931-05-11,47
606.36,755.61,652.85,1976-07-15,850
432.81,540.35,355.76,1959-06-04,127
288.18,724.13,766.15,1939-07-11,207
933.86,262.59,779.49,1964-10-11,412
366.02,464.91,517.31,2009-08-12,786
297.44,367.25,448.37,1918-01-28,285
133.66,413.17,645.99,1902-04-03,458
705.35,691.9,389,1911-12-01,359
748.88,240.58,473.62,1963-03-24,954
554.85,19.52,983.53,1944-02-04,693
779.59,720.18,117.41,2002-08-20,692
421.77,540.34,959.74,1904-10-04,644
100.25,879.09,969.08,1950-03-24,452
78.2,846.36,213.72,1999-07-25,805
701.27,32.33,35.54,1962-04-17,9
127.59,885.51,476.32,1946-01-10,637
375.09,169.24,462.87,1979-08-26,773
57.18,53.65,630.76,1929-11-13,422
253.76,23.43,124.85,1950-04-26,490
906.76,869.24,649.24,2019-03-27,692
765.31,781.6,847.42,1939-09-23,199
870.78,25.8,814,1970-08-01,57
177.62,468.33,964.31,1954-09-02,175
729.59,424.81,256.19,1932-09-02,428
288.97,877.34,469.86,1989-06-15,600
956.93,300.37,425.78,1950-06-29,679
269.14,135.07,203.18,1909-04-25,613
219.09,66.81,647.45,1936-07-29,554
919.77,772.62,957.89,1984-07-28,591
470.75,223.35,57.89,1919-05-09,222
55.67,612.87,142.79,1956-09-18,753
273.76,840.76,661.23,1971-10-09,354
868.13,330.46,457.18,1991-06-08,196
399.64,395.77,598.09,1977-03-01,527
482.6,492.19,438.26,1969-05-29,564
818.4,91.71,318.93,1976-11-14,205
851.18,207.27,741.87,1933-05-19,863
533.03,46.87,321.16,1985-05-14,854
96.93,277.99,201.74,1916-04-20,61
854.47,173.62,195.31,2004-07-10,756
952.29,167.09,532.9,2007-07-24,500
475.53,432.99,940.72,1948-06-05,810
979.87,384.42,54.46,1947-11-30,291
649.51,279.54,460.7,1912-10-22,682
545.83,939.43,350.75,2012-02-02,1
375.94,173.69,262.22,1970-09-05,293
661.25,612.9,869.91,1966-12-13,347
216,592.51,503.52,1947-12-08,652
3.56,652.49,987.14,1932-01-17,136
721.38,116.35,459.16,1919-09-26,205
154.75,992.14,222.32,2019-05-01,962
930.73,269.97,674.58,1934-09-04,485
853.75,575.08,352.91,1905-02-07,505
394.43,361.96,342.47,2005-03-22,859
597.69,166.63,678.15,1957-11-02,620
114.44,488.33,209.49,1938-01-12,696
101.47,361.38,531.1,1995-09-02,887
692.24,268.6,891.26,1969-12-08,183
879.49,114.98,838.8,2015-02-03,347
637.81,797.07,840.14,2014-07-30,930
519.48,803.92,884.91,1969-06-22,113
480.03,355.99,533.77,1955-08-07,685
538.88,424.47,111.43,1972-07-11,255
836.19,595.62,323.36,1975-09-09,280
875.57,890.61,474.94,1965-10-02,117
416.17,795.05,911.77,2011-02-22,284
541.96,321.99,657.09,1905-04-06,288
559.56,659.15,44.89,2014-06-14,134
89.79,441.12,741.94,2005-11-08,386
862.23,3.87,733.41,1970-12-07,318
979.86,911.43,800.57,1909-12-11,690
731.85,186.47,395.78,2005-04-27,103
338.18,830.2,508.37,1919-10-13,362
899.41,23.89,44.1,2001-01-25,385
945.11,739.59,282.41,1964-01-23,304
346.57,37.33,979.04,1905-07-29,630
138.94,659.45,759.48,2002-09-06,335
337.21,160.2,849.22,1990-12-01,53
123.58,928.79,849.33,2010-12-28,372
959.38,647.37,26.22,1963-10-29,451
493.02,634.32,726.43,1946-02-02,210
687.2,709.85,828.87,1957-03-30,877
949.4,650.59,19.32,1961-02-02,248
206.99,655.01,798.98,1960-09-12,782
256.61,602.86,753.17,2002-11-28,303
887.56,54.06,841.24,1981-10-26,734
555.53,868.32,466.48,1936-12-05,329
878.81,929.98,864.7,1932-03-31,20
130.28,130.96,97.12,1944-08-27,720
853.01,319.6,821.3,2014-07-10,126
463.5,875.48,688.83,1905-05-16,17
710.5,531.35,629.28,1981-11-12,48
125.77,882.12,133.25,1928-12-30,262
625.44,61.46,502.6,2008-10-24,159
364.17,220.38,253.45,1991-05-22,772
137.64,787.24,399.66,1936-02-14,169
668.84,738.7,282.46,1921-05-19,611
173.13,779.79,408.77,1993-09-07,280
110.79,646.73,205.12,2019-02-11,326
972.66,302.08,102.89,1970-03-13,687
344.8,734.87,626.47,1994-01-26,673
173.47,412.19,893.82,1960-06-12,938
625.7,819.27,355.22,2014-10-08,484
416.95,778.51,460.97,1940-08-31,12
899.01,807.16,903.7,1991-06-15,701
746.91,937.86,216.57,1951-07-04,25
515.35,682.16,387.6,1905-06-20,378
680.45,593.71,317.36,2018-05-01,89
850.82,166.71,60.88,1942-12-30,859
357.29,810.66,302.37,1932-03-20,721
42.52,986,814.89,2012-03-17,780
28.67,577.02,717.3,1961-05-09,408
173.28,733.19,518.39,1903-10-30,522
748.86,328.1,387.55,1915-06-06,159
686.33,599.91,836.21,1949-09-18,408
539.85,207.72,969.06,1907-04-04,63
356.89,577.65,275.44,1929-10-11,244
477.56,6.65,482.03,2012-04-17,179
531.6,244.71,446.3,2000-07-03,1000
559.71,972.46,538.17,1982-11-28,344
757.94,847.67,479.28,1948-06-24,972
837.81,700.3,961.23,1923-05-23,232
632.3,716.56,412.28,1906-09-14,597
331.32,890.91,43.74,1914-05-28,467
230.83,910.26,879.34,1967-04-17,721
813.71,533.07,221.5,2000-05-11,939
801.05,584.72,426.07,1938-04-27,646
825.02,811.84,802.39,1915-04-16,28
960.41,657.15,707.96,1950-01-25,236
627.02,617.84,404.95,2007-09-27,227
437.41,98.19,761.06,1943-12-31,550
726.57,39.1,421.31,1934-08-19,993
554.86,966.01,266.3,1996-02-12,957
238.93,601.53,34.48,1966-04-21,574
90.4,262.46,790.56,1949-02-03,411
465.83,495.46,547.52,1922-05-24,271
844.02,66.7,114.29,1989-08-15,203
767.48,281.49,656.63,1964-03-26,235
106.86,135.28,950.82,1978-06-10,873
902.2,524.84,812.77,2005-01-12,274
163.02,38.17,73.55,1926-09-28,887
198.01,130.33,373.3,2003-06-29,370
191.67,493.63,30.34,1908-06-03,939
519.91,920.72,279.66,1992-01-23,742
239.88,517.69,884.49,1995-08-26,850
788.9,727.12,353.12,1919-04-14,18
131.28,266.63,965.42,1942-02-20,331
595.21,680.16,311.23,2008-03-06,369
862.01,66.99,858.58,1942-10-23,96
211.51,195.65,85.57,1911-11-08,465
43.72,374.12,144.63,1962-04-14,195
425.71,173.55,960.64,1987-11-13,366
136.24,60.79,562.76,1977-03-23,666
371.94,103.87,413.1,1957-11-27,297
436.86,758.79,577.1,2010-04-13,999
853.9,331.69,359.15,1993-02-22,817
862.9,165.36,502.77,1947-05-06,367
405.01,721.74,602.66,1993-07-03,793
193.13,180.47,289.43,2003-12-20,996
8.72,794.62,739.42,1941-05-07,850
260.48,602.41,160.28,1992-12-06,953
500.13,240.23,1000.13,1985-07-13,612
319.33,128.08,740.76,1977-11-04,400
853.92,470.79,955.84,1947-02-08,849
507.45,216.67,955.25,1941-12-01,125
727.48,226.52,745.27,1903-08-29,373
86.5,984.34,670.61,1900-09-14,954
72.67,749.4,237.8,1986-07-21,434
755.57,48.87,639.96,1930-08-29,55
463.67,208.99,628.71,1980-03-14,888
216.34,751.32,545.85,1904-09-26,1
517.76,308.63,678.1,2018-08-04,106
171.42,910.41,451.7,1948-12-06,333
12.79,530.18,988.89,1930-06-13,226
626.68,404.14,525.8,2019-02-20,213
429.45,712.52,399.5,1987-02-07,707
979.23,554.98,149.66,1937-04-05,420
807.12,279.02,824.45,1986-04-25,160
720.44,881.4,526.66,1931-05-03,597
303.12,385.54,618.98,1996-04-22,212
115.16,993.39,755.19,1913-09-16,836
123.22,226.2,316.48,1966-05-28,926
31.97,103.74,171.18,1969-08-13,717
680.57,602.06,361.79,1960-10-03,983
5.93,239.94,570.24,1902-02-19,707
738.28,400.16,721.44,1907-06-08,224
118.19,194.37,199.94,1958-07-24,518
888.15,139.45,677.76,1993-09-10,144
448.78,102.62,639.56,1970-12-25,677
750.66,124.5,588.55,1934-09-10,773
670.96,727.55,787.08,1945-08-01,278
489.44,814.47,985.56,1944-04-12,598
658.54,256.63,661.05,2008-03-07,926
